"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/01/2025";"1900";"28,4";"";"";"45,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"2000";"28,6";"";"";"44,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"2100";"27,6";"";"";"50,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"2200";"25,8";"";"";"60,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06/01/2025";"0000";"22,2";"";"";"77,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0100";"21,1";"";"";"79,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0200";"20,7";"";"";"76,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0300";"20,4";"";"";"78,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0400";"20,1";"";"";"78,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0500";"19,6";"";"";"83,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0600";"19,0";"";"";"85,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0700";"18,6";"";"";"85,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0800";"18,3";"";"";"86,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"0900";"18,4";"";"";"85,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1000";"19,2";"";"";"81,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1100";"21,9";"";"";"69,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1200";"24,0";"";"";"64,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1300";"26,0";"";"";"55,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1400";"27,3";"";"";"45,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1500";"28,0";"";"";"42,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1600";"28,2";"";"";"40,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1700";"29,0";"";"";"36,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1800";"28,9";"";"";"40,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"1900";"28,1";"";"";"44,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"2000";"28,1";"";"";"43,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"2100";"27,4";"";"";"45,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06/01/2025";"2300";"23,8";"";"";"67,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0000";"22,6";"";"";"69,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0100";"21,8";"";"";"73,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0200";"21,0";"";"";"76,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"0500";"18,8";"";"";"85,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0600";"18,3";"";"";"87,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0700";"18,4";"";"";"86,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0800";"18,0";"";"";"87,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"1000";"18,7";"";"";"85,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1100";"20,3";"";"";"78,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07/01/2025";"1300";"24,4";"";"";"62,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1400";"26,0";"";"";"60,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1500";"26,6";"";"";"60,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1600";"27,3";"";"";"53,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1700";"28,4";"";"";"44,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1800";"29,4";"";"";"35,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"1900";"29,4";"";"";"36,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"2000";"27,0";"";"";"56,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"2100";"23,5";"";"";"64,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"2200";"22,4";"";"";"63,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2025";"2300";"21,9";"";"";"60,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0000";"21,8";"";"";"65,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0100";"20,7";"";"";"73,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
